job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,min_salary,max_salary,skills_list,avg_salary,salary_clean,revenue_numeric,company_size_numeric
data scientist,senior,remote,company_169,Fully Remote,4 days ago,"San Francisco, CA, US",Technology,Public,4080.0,7840000000.0,224774,[],224774,224774.0,[],224774.0,224774,7840000000.0,4080.0
data scientist,senior,,company_170,"Ridgefield, CT",10 days ago,"Ingelheim am Rhein, RP, DE",Technology,Public,52060.0,,127874 - 202766,"['pytorch', 'git', 'scikit-learn', 'python', 'docker', 'kubernetes', 'machine learning', 'tensorflow']",127874,202766.0,"['pytorch', 'git', 'scikit-learn', 'python', 'docker', 'kubernetes', 'machine learning', 'tensorflow']",165320.0,127874 - 202766,,52060.0
data scientist,senior,,company_171,"Pune, Maharashtra, India",15 days ago,"Armonk, NY, US",Technology,Public,524608.0,119430000000.0,27274 - 52695,"['pandas', 'pytorch', 'r', 'python', 'java', 'database', 'keras', 'machine learning', 'matplotlib', 'tensorflow']",27274,52695.0,"['pandas', 'pytorch', 'r', 'python', 'java', 'database', 'keras', 'machine learning', 'matplotlib', 'tensorflow']",39984.5,27274 - 52695,119430000000.0,524608.0
data scientist,,on-site,company_173,"San Mateo, CA",a month ago,"Burlingame, CA, US",Technology,Private,126.0,,109602 - 123302,[],109602,123302.0,[],116452.0,109602 - 123302,,126.0
data scientist,senior,on-site,company_176,On-site,11 days ago,"Mountain View, CA, US",Technology,Public,2790.0,,117189 - 185414,[],117189,185414.0,[],151301.5,117189 - 185414,,2790.0
data scientist,senior,on-site,company_177,"Omaha, NE",a month ago,"Newport Beach, CA, US",Finance,Public,4010.0,,149445 - 182654,"['scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",149445,182654.0,"['scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']",166049.5,149445 - 182654,,4010.0
data scientist,senior,on-site,company_178,"Torrance, CA",3 days ago,"Torrance, CA, US",Technology,Public,10100.0,36690000000.0,63942,"['spark', 'r', 'python', 'hadoop', 'machine learning']",63942,63942.0,"['spark', 'r', 'python', 'hadoop', 'machine learning']",63942.0,63942,36690000000.0,10100.0
data scientist,senior,hybrid,company_179,"Los Angeles, CA",20 days ago,"Collingwood, VIC, AU",Technology,Private,150.0,1440000000.0,182668 - 214634,['amazon'],182668,214634.0,['amazon'],198651.0,182668 - 214634,1440000000.0,150.0
data scientist,midlevel,remote,company_181,"San Francisco, CA",8 days ago,"San Francisco, CA, US",Technology,Public,1290.0,,90877 - 141566,"['tableau', 'sql', 'r', 'python']",90877,141566.0,"['tableau', 'sql', 'r', 'python']",116221.5,90877 - 141566,,1290.0
data scientist,senior,hybrid,company_182,"Navi Mumbai, Maharashtra, India",a month ago,"Chicago, IL, US",Finance,Public,9920.0,,15542,"['pandas', 'numpy', 'pytorch', 'scikit-learn', 'python', 'docker', 'scipy', 'sql', 'machine learning', 'deep learning', 'matplotlib', 'tensorflow']",15542,15542.0,"['pandas', 'numpy', 'pytorch', 'scikit-learn', 'python', 'docker', 'scipy', 'sql', 'machine learning', 'deep learning', 'matplotlib', 'tensorflow']",15542.0,15542,,9920.0
